key,value
float_avg_ns,6690.970416666667
float_avg_ns_min,6683.33
float_avg_ns_max,6716.67
fixed_avg_ns,1329.17
fixed_avg_ns_min,1316.67
fixed_avg_ns_max,1341.67
float_12_avg_ns,6683.329999999999
fixed_12_avg_ns,1341.67
fixed_max_dev_duty,0.4219
ledc_max_bits_100k,8
adc_mv_avg_us,86639.92
adc_mv_max_us,309837.5
adc_raw_avg_us,59965.83
adc_raw_max_us,67787.5
noise_N1_sigma_V,1.63329
noise_N128_sigma_V,0.13237
adc_mean_V_at_N128,1.64427
loop_rate_khz,0.15
loop_ts_meas_us,6836.600000000001
loop_ss_err_V_mean,0.05633333333333334
loop_d_mean,0.5075
loop_d_ripple,0.04016666666666667
loop_ss_err_frozen_mean,0.0030000000000000005
loop_d_ripple_frozen,0.7611666666666667
