key,value
lat_adc_raw_avg_us,59999.92
lat_adc_mv_avg_us,89081.47
lat_comp_f32_avg_us,6784.59
lat_comp_i32_avg_us,858.43
lat_pwm_avg_us,4202.96
lat_loop_est_us,65061.31
cpu_pct_f32,10.427994763708263
cpu_pct_i32,1.319417023727312
effres_iae_min,6.828
effres_iae_max,8.329
effres_sserr_max_mv,17.4
sched_frozen_iae_max,2.397
sched_retuned_iae_max,3.118
sched_retuned_sserr_max_V,0.038
lat_inj_iae_0,0.136
lat_inj_iae_max,0.61
lat_inj_iae_mult,4.485294117647058
adaptive_n,1098
adaptive_t_ms,5994.382
adaptive_fast_pct,3.7850941097847985
adaptive_slow_pct,87.18410004567609
adaptive_dither_pct,9.030689068531176
adaptive_f_avg_hz,183.17150959014626
adaptive_f_fast_hz,1157.4074074074074
adaptive_SR,0.8417398157141136
