L_uH,C_uF,label,ts,t_ms,ss,ripple,dcm
100.0,220.0,sim 220uF (100uH) f0 1.07kHz,1,2.6555,12.762190847222854,39.57347765901886,0
100.0,220.0,sim 220uF (100uH) f0 1.07kHz,1.5,3.905,0.4444385421056296,29.13319274176196,0
100.0,220.0,sim 220uF (100uH) f0 1.07kHz,2,4.8950000000000005,13.536834107473084,75.28496863690215,0
100.0,220.0,sim 220uF (100uH) f0 1.07kHz,2.5,5.86525,0.704370442951685,42.87021335872865,0
100.0,220.0,sim 220uF (100uH) f0 1.07kHz,3,6.045249999999999,12.818390962602066,72.32226256641638,0
100.0,220.0,sim 220uF (100uH) f0 1.07kHz,3.5,6.375249999999999,0.48774759340197704,49.499246110872974,0
100.0,220.0,sim 220uF (100uH) f0 1.07kHz,4,59.99975,-12968.263037220457,1590.5571975430987,623
100.0,220.0,sim 220uF (100uH) f0 1.07kHz,5,59.99975,-13069.161473914115,1842.913044144172,789
100.0,2.2,HW 2.2uF (100uH) f0 10.7kHz,1,59.99975,397.8290334479411,4808.872604225586,0
100.0,2.2,HW 2.2uF (100uH) f0 10.7kHz,1.5,59.99975,2612.0420469962937,11575.283208820523,1
100.0,2.2,HW 2.2uF (100uH) f0 10.7kHz,2,59.99975,2010.3322219559025,17350.160673384304,750
100.0,2.2,HW 2.2uF (100uH) f0 10.7kHz,2.5,59.99975,5333.142130327973,13807.009562598874,1599
100.0,2.2,HW 2.2uF (100uH) f0 10.7kHz,3,59.99975,5146.351141815263,13821.551300473344,1998
100.0,2.2,HW 2.2uF (100uH) f0 10.7kHz,3.5,59.99975,5061.685351574873,19025.049460568098,2284
100.0,2.2,HW 2.2uF (100uH) f0 10.7kHz,4,59.99975,4996.288282029302,19126.878294526985,2499
100.0,2.2,HW 2.2uF (100uH) f0 10.7kHz,5,59.99975,4922.6090463089195,24365.937782577996,2799
330.0,2.2,HW 2.2uF (330uH) f0 5.9kHz,1,59.99975,246.48224335711788,4945.715585511003,0
330.0,2.2,HW 2.2uF (330uH) f0 5.9kHz,1.5,59.99975,2148.847078874125,13811.00159517994,0
330.0,2.2,HW 2.2uF (330uH) f0 5.9kHz,2,59.99975,3033.665099477908,13077.677947611272,0
330.0,2.2,HW 2.2uF (330uH) f0 5.9kHz,2.5,59.99975,3124.5828745731465,13259.946443076227,0
330.0,2.2,HW 2.2uF (330uH) f0 5.9kHz,3,59.99975,3749.1381219446234,14205.46787042294,0
330.0,2.2,HW 2.2uF (330uH) f0 5.9kHz,3.5,59.99975,4247.9335263179055,15173.305300073798,0
330.0,2.2,HW 2.2uF (330uH) f0 5.9kHz,4,59.99975,4814.575411620973,17489.539952075695,0
330.0,2.2,HW 2.2uF (330uH) f0 5.9kHz,5,59.99975,7206.762295696318,9946.301035919862,399
