C_uF,ts,t_ms,ss,ripple,dcm,settled
220.0,1,2.6555,12.762190847222854,39.57347765901886,0,1
220.0,1.5,3.905,0.4444385421056296,29.13319274176196,0,1
220.0,2,4.8950000000000005,13.536834107473084,75.28496863690215,0,1
220.0,2.5,5.86525,0.704370442951685,42.87021335872865,0,1
220.0,3,6.045249999999999,12.818390962602066,72.32226256641638,0,1
220.0,3.5,6.375249999999999,0.48774759340197704,49.499246110872974,0,1
220.0,4,59.99975,-12968.263037220457,1590.5571975430987,623,0
220.0,5,59.99975,-13069.161473914115,1842.913044144172,789,0
2.2,1,59.99975,397.8290334479411,4808.872604225586,0,0
2.2,1.5,59.99975,2612.0420469962937,11575.283208820523,1,0
2.2,2,59.99975,2010.3322219559025,17350.160673384304,750,0
2.2,2.5,59.99975,5333.142130327973,13807.009562598874,1599,0
2.2,3,59.99975,5146.351141815263,13821.551300473344,1998,0
2.2,3.5,59.99975,5061.685351574873,19025.049460568098,2284,0
2.2,4,59.99975,4996.288282029302,19126.878294526985,2499,0
2.2,5,59.99975,4922.6090463089195,24365.937782577996,2799,0
