sigma,adc,t_settle_ms,ss_error_mV,ripple_mV,iae,dcm
0.0,16,2.6555,12.762190847222854,39.57347765901886,0.010872185109250572,0
0.0,12,2.6952499999999997,12.592147444291157,53.74128100551978,0.01087252452734491,0
0.0,10,2.6149999999999998,14.895280882734951,57.787926987492355,0.011022948208523363,0
0.0,8,2.64425,0.4371709068777818,26.85143500984566,0.010416237227977172,0
0.1,16,57.3215,-8.488032380277843,1371.944789678068,0.00827096187729053,0
0.1,12,57.340999999999994,-8.298216743673592,1343.790411410593,0.00830898357642318,0
0.1,10,57.4235,-23.20936318736777,1268.094852120493,0.008393066326314988,0
0.1,8,59.99975,11.751010507950355,1199.604153657635,0.01029608223710035,5
0.5,16,59.99975,-883.0585692136221,7815.741046454033,0.09014391999778092,669
0.5,12,59.99975,-885.4170422843187,7787.258161129172,0.09021646946343874,673
0.5,10,59.99975,-871.0460462997443,7718.120481267187,0.0901273646357108,663
0.5,8,59.99975,-912.3963594137532,7432.204761703685,0.08893737007170441,641
1.0,16,59.99975,-1089.3659134548273,8729.002285363618,0.10004788522923629,680
1.0,12,59.99975,-1087.8649415405891,8740.416292449683,0.09998965844040716,675
1.0,10,59.99975,-1108.2760036024997,8782.486344208124,0.10048289206469406,678
1.0,8,59.99975,-1063.3024026115904,8834.419954080182,0.10168792667004356,690
1.5,16,59.99975,-999.1225274313517,8711.219205634636,0.09723884293424301,690
1.5,12,59.99975,-998.0226499655487,8693.889421986334,0.0971943644727178,687
1.5,10,59.99975,-996.6046845721959,8816.760475440225,0.09720726909570003,686
1.5,8,59.99975,-1014.3729684359784,9323.679470956416,0.0975261152071468,690
